StaffRouteStopMapIID,StaffID,PickupStopMapID,DropStopMapID,IsOneWay,PickupRouteID,DropStopRouteID,SchoolID,AcademicYearID,TransportStatusID
44,12218,120014,120014.0,False,40631,40631.0,20,19.0,1.0
45,13924,120196,120196.0,False,40626,40626.0,20,19.0,1.0
46,13923,120193,120193.0,False,40625,40625.0,20,19.0,
47,13959,120093,120093.0,False,40631,,20,,1.0
48,14200,120083,120083.0,False,40645,40645.0,30,21.0,1.0
49,13929,120080,120080.0,False,40645,40645.0,30,,1.0
50,13922,120072,120072.0,False,40643,40643.0,30,21.0,1.0
51,13968,120072,120072.0,False,40643,40643.0,30,21.0,1.0
52,14157,120082,120082.0,False,40645,40645.0,30,21.0,1.0
53,14007,120081,120081.0,False,40645,40645.0,30,21.0,1.0
54,13984,120126,,True,40612,,30,21.0,1.0
55,13986,120126,,True,40612,,30,,1.0
56,13955,119933,119933.0,False,40612,40612.0,30,21.0,1.0
57,14117,120127,120127.0,False,40632,40632.0,30,21.0,1.0
58,14168,119938,119938.0,False,40613,40613.0,10,9.0,1.0
59,13930,120196,120196.0,False,40626,40626.0,20,19.0,1.0
60,13937,120185,120185.0,False,40631,40631.0,20,19.0,1.0
61,13945,120204,120204.0,False,40628,40628.0,20,19.0,1.0
62,14114,119953,119953.0,False,40615,40615.0,10,9.0,1.0
63,13963,120104,120104.0,False,40622,40622.0,20,19.0,1.0
64,13938,119950,119950.0,False,40614,40614.0,10,9.0,1.0
65,14143,120172,120172.0,False,40621,40621.0,20,19.0,1.0
66,14139,120206,120206.0,False,40629,40629.0,20,19.0,1.0
67,14124,119950,119950.0,False,40614,40614.0,10,9.0,1.0
68,14165,120204,120204.0,False,40628,40628.0,20,19.0,1.0
69,14178,119944,119944.0,False,40614,40614.0,10,9.0,1.0
70,14186,120201,120201.0,False,40627,40627.0,20,19.0,1.0
71,13934,120104,120104.0,False,40622,40622.0,20,19.0,1.0
72,14144,120104,120104.0,False,40622,40622.0,20,19.0,1.0
73,13920,120163,120163.0,False,40619,40619.0,10,9.0,1.0
74,13947,120101,120101.0,False,40622,40622.0,20,19.0,1.0
75,13942,120291,120291.0,False,40622,40622.0,20,19.0,1.0
76,13932,120165,120165.0,False,40619,40619.0,10,9.0,1.0
77,13933,120177,120177.0,False,40624,40624.0,20,19.0,1.0
78,13944,120169,120169.0,False,40619,40619.0,10,9.0,1.0
79,13935,120100,120100.0,False,40647,40647.0,20,19.0,1.0
80,13956,120167,120167.0,False,40619,40619.0,10,9.0,1.0
81,13936,120207,120207.0,False,40629,40629.0,20,19.0,1.0
82,14126,120173,120173.0,False,40622,40622.0,20,19.0,1.0
83,14137,120165,120165.0,False,40619,40619.0,10,9.0,1.0
84,14167,120172,120172.0,False,40621,40621.0,20,19.0,
85,14172,120009,120009.0,False,40630,40630.0,20,19.0,1.0
86,14111,120104,120104.0,False,40622,40622.0,20,19.0,1.0
87,14174,120132,120132.0,False,40632,40632.0,30,21.0,1.0
88,14134,120101,120101.0,False,40622,40622.0,20,19.0,1.0
89,14115,120104,120104.0,False,40622,40622.0,20,19.0,1.0
90,14130,120101,120101.0,False,40622,40622.0,20,19.0,1.0
91,14129,120094,120094.0,False,40647,40647.0,20,19.0,1.0
92,14155,120104,120104.0,False,40622,40622.0,20,19.0,2.0
93,14173,120027,120027.0,False,40632,40632.0,30,21.0,1.0
94,14146,120193,120193.0,False,40625,40625.0,20,19.0,1.0
95,14181,120184,120184.0,False,40631,40631.0,20,19.0,1.0
96,13925,120028,120028.0,False,40633,40633.0,30,21.0,1.0
97,14138,120162,120162.0,False,40619,40619.0,10,9.0,1.0
98,13961,120028,120028.0,False,40633,40633.0,30,21.0,1.0
99,14151,120028,120028.0,False,40633,40633.0,30,21.0,1.0
100,14110,120168,120168.0,False,40619,40619.0,10,9.0,1.0
101,14171,120028,120028.0,False,40633,40633.0,30,21.0,1.0
102,13949,120035,120035.0,False,40634,40634.0,30,21.0,1.0
103,13927,119963,119963.0,False,40617,40617.0,10,9.0,1.0
104,13954,120035,120035.0,False,40634,40634.0,30,21.0,1.0
105,13962,119963,119963.0,False,40617,40617.0,10,9.0,1.0
106,14141,120035,120035.0,False,40634,40634.0,30,21.0,1.0
107,14195,120018,120018.0,False,40631,40631.0,20,19.0,1.0
108,13915,119965,119965.0,False,40618,40618.0,10,9.0,1.0
109,14152,120035,120035.0,False,40634,40634.0,30,21.0,1.0
110,13931,120161,120161.0,False,40618,40618.0,10,9.0,1.0
111,14018,120038,120038.0,False,40634,40634.0,30,21.0,1.0
112,14013,120043,120043.0,False,40635,40635.0,30,21.0,1.0
113,13916,119978,119978.0,False,40619,40619.0,10,9.0,1.0
114,13965,120078,120078.0,False,40644,40644.0,30,21.0,1.0
115,13994,120078,120078.0,False,40644,40644.0,30,21.0,1.0
116,14202,120150,120150.0,False,40644,40644.0,30,21.0,1.0
117,13921,119973,119973.0,False,40619,40619.0,10,9.0,1.0
118,13946,120151,120151.0,False,40644,40644.0,30,21.0,1.0
119,14188,120044,120044.0,False,40636,40636.0,30,21.0,1.0
120,14193,120044,120044.0,False,40636,40636.0,30,21.0,1.0
121,13928,119980,119980.0,False,40619,40619.0,10,9.0,1.0
122,14149,120068,120068.0,False,40642,40642.0,30,21.0,1.0
123,14147,120140,120140.0,False,40636,40636.0,30,21.0,1.0
124,14185,120071,120071.0,False,40642,40642.0,30,21.0,1.0
125,13951,120048,120048.0,False,40637,40637.0,30,21.0,1.0
126,14160,120047,120047.0,False,40636,40636.0,30,21.0,1.0
127,14154,120184,120184.0,False,40631,40631.0,20,19.0,1.0
128,13970,120060,120060.0,False,40639,40639.0,30,21.0,1.0
129,14136,119978,119978.0,False,40619,40619.0,10,9.0,1.0
130,14175,120207,120206.0,False,40629,40629.0,20,19.0,
131,13973,120196,120196.0,False,40626,40626.0,20,19.0,1.0
132,13967,120203,120203.0,False,40628,40628.0,20,19.0,1.0
133,13983,120118,120118.0,False,40628,40628.0,20,19.0,1.0
134,12563,119970,119970.0,False,40619,40619.0,10,9.0,1.0
135,13917,119958,119958.0,False,40617,40617.0,10,9.0,1.0
136,13966,119961,119961.0,False,40617,40617.0,10,9.0,1.0
137,14206,120093,120093.0,False,40631,40631.0,20,19.0,1.0
138,14205,120093,120093.0,False,40631,40631.0,20,19.0,1.0
139,14204,120094,120094.0,False,40647,40647.0,20,19.0,1.0
140,14015,120000,120000.0,False,40625,40625.0,20,19.0,1.0
141,14017,120103,120103.0,False,40622,40622.0,20,19.0,1.0
142,14014,120197,120197.0,False,40626,40626.0,20,19.0,1.0
143,14169,120168,120168.0,False,40619,40619.0,10,9.0,1.0
144,13977,120067,120067.0,False,40642,40642.0,30,21.0,1.0
145,14116,120067,120067.0,False,40642,40642.0,30,21.0,1.0
146,14125,120067,120067.0,False,40642,40642.0,30,,1.0
147,14131,120067,120067.0,False,40642,40642.0,30,21.0,
148,14123,120159,120159.0,False,40616,40616.0,10,9.0,1.0
149,14182,119988,119988.0,False,40620,40620.0,10,9.0,1.0
150,14112,119942,119942.0,False,40613,40613.0,10,9.0,1.0
151,14019,120171,120171.0,False,40620,40620.0,10,9.0,1.0
152,14016,120156,120156.0,False,40613,40613.0,10,9.0,1.0
153,13993,120091,120091.0,False,40646,40646.0,30,21.0,1.0
154,14190,120067,120067.0,False,40642,40642.0,30,21.0,1.0
155,14208,120152,120152.0,False,40648,40648.0,30,21.0,1.0
156,14538,120152,120152.0,False,40648,40648.0,30,21.0,1.0
157,14122,120153,120153.0,False,40648,40648.0,30,21.0,1.0
158,14153,120218,120218.0,False,40649,40649.0,30,21.0,1.0
159,13990,120152,120152.0,False,40648,40648.0,30,21.0,1.0
160,14189,120152,120152.0,False,40648,40648.0,30,21.0,1.0
161,14113,120152,120152.0,False,40648,40648.0,30,21.0,1.0
162,14180,120153,120153.0,False,40648,40648.0,30,21.0,1.0
163,14119,120153,120153.0,False,40648,40648.0,30,21.0,1.0
164,13960,120055,120055.0,False,40638,40638.0,30,21.0,1.0
165,14472,120054,120054.0,False,40638,40638.0,30,21.0,1.0
166,14187,120054,120054.0,False,40638,40638.0,30,21.0,1.0
167,13952,120053,120053.0,False,40638,40638.0,30,21.0,1.0
168,14555,120175,120175.0,False,40623,40623.0,20,19.0,1.0
169,14197,120119,120119.0,False,40630,40630.0,20,19.0,1.0
170,13928,120258,120258.0,False,40661,40661.0,30,22.0,1.0
171,14117,120299,120299.0,False,40669,40669.0,30,22.0,1.0
172,14538,120244,120244.0,False,40657,40657.0,30,22.0,1.0
173,13932,120244,120244.0,False,40657,40657.0,30,22.0,1.0
174,14137,120244,120244.0,False,40657,40657.0,30,22.0,1.0
175,14570,120307,120307.0,False,40673,40673.0,30,22.0,1.0
176,14197,120308,120308.0,False,40673,40673.0,30,22.0,1.0
177,14598,120303,120303.0,False,40672,40672.0,30,22.0,1.0
178,14579,120244,120244.0,False,40657,40657.0,30,22.0,1.0
179,13952,120304,120304.0,False,40672,40672.0,30,22.0,1.0
180,14575,120244,120244.0,False,40657,40657.0,30,22.0,1.0
181,14576,120244,120244.0,False,40657,40657.0,30,22.0,1.0
182,14113,120244,120244.0,False,40657,40657.0,30,22.0,1.0
183,14189,120244,120244.0,False,40657,40657.0,30,22.0,1.0
184,14208,120244,120244.0,False,40657,40657.0,30,22.0,1.0
185,13990,120244,120244.0,False,40657,40657.0,30,22.0,
186,14537,120244,120244.0,False,40657,40657.0,30,22.0,1.0
187,14540,120246,120246.0,False,40657,40657.0,30,22.0,1.0
188,14119,120246,120246.0,False,40657,40657.0,30,22.0,1.0
189,14180,120246,120246.0,False,40657,40657.0,30,22.0,1.0
190,14122,120246,120246.0,False,40657,40657.0,30,22.0,1.0
191,14169,120246,120246.0,False,40657,40657.0,30,22.0,
192,14154,120246,120246.0,False,40657,40657.0,30,22.0,1.0
193,14110,120246,120246.0,False,40657,40657.0,30,22.0,1.0
194,14181,120246,120246.0,False,40657,40657.0,30,22.0,1.0
195,14128,120246,120246.0,False,40657,40657.0,30,22.0,1.0
196,14574,120246,120246.0,False,40657,40657.0,30,22.0,1.0
197,13986,120314,120314.0,False,40671,40671.0,30,22.0,
198,14141,120035,120035.0,False,40634,40634.0,30,22.0,1.0
199,13949,120066,120066.0,False,40641,40641.0,30,22.0,1.0
200,14631,120136,120136.0,False,40635,40635.0,30,22.0,1.0
201,14013,120216,120216.0,False,40649,40649.0,30,22.0,1.0
202,14557,120321,120321.0,False,40672,40672.0,30,22.0,1.0
203,14178,120321,120321.0,False,40672,40672.0,30,22.0,1.0
204,14573,120321,120321.0,False,40672,40672.0,30,22.0,
205,13952,120304,120304.0,False,40672,40672.0,30,22.0,1.0
206,14174,120132,120132.0,False,40632,40632.0,30,22.0,1.0
207,14634,120065,120065.0,False,40641,40641.0,30,22.0,
208,14583,120242,120242.0,False,40656,40656.0,30,22.0,2.0
209,14601,120004,120004.0,False,40628,40628.0,20,20.0,1.0
210,14594,120104,120104.0,False,40622,40622.0,20,20.0,1.0
211,14655,120206,120206.0,False,40629,40629.0,20,20.0,
212,13948,120207,120207.0,False,40629,40629.0,20,20.0,1.0
213,13931,120264,120264.0,False,40665,40665.0,10,10.0,1.0
214,13938,119950,119950.0,False,40614,40614.0,10,10.0,1.0
215,14577,119938,119938.0,False,40613,40613.0,10,10.0,1.0
216,14644,120157,120157.0,False,40613,40613.0,10,10.0,1.0
217,14600,120336,120336.0,False,40666,40666.0,10,10.0,1.0
218,14198,120341,120341.0,False,40666,40666.0,10,10.0,1.0
219,13947,120342,120342.0,False,40666,40666.0,10,10.0,1.0
220,14646,120393,120393.0,False,40617,40617.0,10,10.0,1.0
221,13984,120126,120126.0,False,40612,40612.0,30,22.0,
222,14572,120298,120298.0,False,40668,40668.0,30,22.0,2.0
223,13920,120135,120135.0,False,40633,40633.0,30,22.0,2.0
224,13925,120028,120028.0,False,40633,40633.0,30,22.0,2.0
225,14549,120028,120028.0,False,40633,40633.0,30,22.0,2.0
226,14151,120028,120028.0,False,40633,40633.0,30,22.0,2.0
227,14171,120028,120028.0,False,40633,40633.0,30,22.0,2.0
228,14676,120035,120035.0,False,40634,40634.0,30,22.0,2.0
229,14152,120035,120035.0,False,40634,40634.0,30,22.0,2.0
230,14130,120035,120035.0,False,40634,40634.0,30,22.0,2.0
231,14603,120035,120035.0,False,40634,40634.0,30,22.0,2.0
232,14636,120044,120044.0,False,40636,40636.0,30,22.0,1.0
233,14188,120044,120044.0,False,40636,40636.0,30,22.0,2.0
234,14193,120044,120044.0,False,40636,40636.0,30,22.0,
235,13951,120048,120048.0,False,40637,40637.0,30,22.0,1.0
236,14678,120054,120054.0,False,40638,40638.0,30,22.0,
237,13960,120055,120055.0,False,40638,40638.0,30,22.0,1.0
238,14557,120055,120055.0,False,40638,40638.0,30,22.0,1.0
239,14178,120055,120055.0,False,40638,40638.0,30,22.0,1.0
240,13985,120054,120054.0,False,40638,40638.0,30,22.0,1.0
241,14187,120054,120054.0,False,40638,40638.0,30,22.0,1.0
242,14586,120066,120066.0,False,40641,40641.0,30,22.0,
243,14593,120066,120066.0,False,40641,40641.0,30,22.0,1.0
244,14662,120071,120071.0,False,40642,40642.0,30,22.0,1.0
245,13917,120349,120349.0,False,40642,40642.0,30,22.0,1.0
246,14168,120148,120148.0,False,40642,40642.0,30,22.0,1.0
247,14671,120072,120072.0,False,40643,40643.0,30,22.0,1.0
248,13968,120072,120072.0,False,40643,40643.0,30,22.0,1.0
249,13916,120072,120072.0,False,40643,40643.0,30,22.0,1.0
250,13922,120072,120072.0,False,40643,40643.0,30,22.0,1.0
251,14136,120072,120072.0,False,40643,40643.0,30,22.0,
252,14202,120150,120150.0,False,40644,40644.0,30,22.0,1.0
253,14200,120083,120083.0,False,40645,40645.0,30,22.0,1.0
254,13929,120080,120080.0,False,40645,40645.0,30,22.0,1.0
255,14157,120082,120082.0,False,40645,40645.0,30,22.0,2.0
256,14107,120028,120091.0,False,40633,40646.0,30,22.0,
257,13994,120363,120363.0,False,40680,40680.0,30,22.0,1.0
258,13928,120356,120356.0,False,40678,40678.0,30,22.0,1.0
259,14603,120365,120365.0,False,40681,40681.0,30,22.0,2.0
260,14583,120369,120369.0,False,40682,40682.0,30,22.0,1.0
261,14716,120104,120104.0,False,40622,40622.0,20,20.0,1.0
262,14596,120173,120173.0,False,40622,40622.0,20,20.0,1.0
263,14595,120173,120173.0,False,40622,40622.0,20,20.0,1.0
264,14188,120314,120314.0,False,40671,40671.0,30,22.0,1.0
265,13957,120004,120004.0,False,40628,40628.0,20,20.0,1.0
266,13934,120104,120104.0,False,40622,40622.0,20,20.0,1.0
267,14115,120104,120104.0,False,40622,40622.0,20,20.0,1.0
268,14144,120104,120104.0,False,40622,40622.0,20,20.0,1.0
269,14155,120104,120104.0,False,40622,40622.0,20,20.0,1.0
270,14130,120101,120101.0,False,40622,40622.0,20,20.0,1.0
271,13947,120101,120101.0,False,40622,40622.0,20,20.0,1.0
272,14134,120101,120101.0,False,40622,40622.0,20,20.0,1.0
273,14673,120136,120136.0,False,40635,40635.0,30,22.0,1.0
274,14111,120104,120104.0,False,40622,40622.0,20,20.0,1.0
275,14114,120101,120101.0,False,40622,40622.0,20,20.0,1.0
276,14126,120173,120173.0,False,40622,40622.0,20,20.0,1.0
277,13936,120173,120173.0,False,40622,40622.0,20,20.0,1.0
278,13945,120204,120204.0,False,40628,40628.0,20,20.0,1.0
279,14686,120173,120173.0,False,40622,40622.0,20,20.0,1.0
280,14563,120118,120118.0,False,40628,40628.0,20,20.0,1.0
281,14675,120427,120427.0,False,40631,40631.0,20,20.0,1.0
282,13937,120428,120428.0,False,40631,40631.0,20,20.0,1.0
283,14165,120204,120204.0,False,40628,40628.0,20,20.0,2.0
284,13983,120118,120118.0,False,40628,40628.0,20,20.0,2.0
285,14181,120406,120406.0,False,40631,40631.0,20,20.0,1.0
286,12218,120406,120406.0,False,40631,40631.0,20,20.0,1.0
287,13959,120183,120183.0,False,40631,40631.0,20,20.0,1.0
288,14567,120429,120429.0,False,40631,40631.0,20,20.0,1.0
289,13948,120207,120207.0,False,40629,40629.0,20,20.0,1.0
290,13930,120196,120196.0,False,40626,40626.0,20,20.0,1.0
291,13924,120196,120196.0,False,40626,40626.0,20,20.0,1.0
292,14123,120293,120293.0,False,40650,40650.0,20,20.0,
293,14129,120219,120219.0,False,40650,40650.0,20,20.0,1.0
294,14143,120201,120201.0,False,40627,40627.0,20,20.0,1.0
295,14139,120378,120378.0,False,40629,40629.0,20,20.0,1.0
296,14715,120403,120403.0,False,40660,40660.0,20,20.0,1.0
297,14146,120175,120175.0,False,40623,40623.0,20,20.0,1.0
298,13935,120100,120100.0,False,40647,40647.0,20,20.0,1.0
299,14555,120175,120175.0,False,40623,40623.0,20,20.0,
300,14680,120219,120219.0,False,40650,40650.0,20,20.0,1.0
301,14669,120172,120172.0,False,40621,40621.0,20,20.0,1.0
302,14731,120071,120071.0,False,40642,40642.0,30,22.0,2.0
303,14736,120072,120072.0,False,40643,40643.0,30,22.0,1.0
304,14722,120085,120085.0,False,40645,40645.0,30,22.0,1.0
305,14668,120227,120227.0,False,40652,40652.0,30,22.0,1.0
306,14717,120283,120283.0,False,40658,40658.0,30,22.0,1.0
307,14720,120262,120262.0,False,40663,40663.0,30,22.0,1.0
308,14722,120065,120065.0,False,40641,40641.0,30,22.0,1.0
309,14752,120336,120336.0,False,40666,40666.0,10,10.0,1.0
310,14731,120263,120263.0,False,40664,40664.0,30,22.0,1.0
311,14602,120263,120263.0,False,40664,40664.0,30,22.0,1.0
312,14662,120263,120263.0,False,40664,40664.0,30,22.0,1.0
313,14178,120392,120392.0,False,40683,40683.0,30,22.0,1.0
314,14557,120392,120392.0,False,40683,40683.0,30,22.0,1.0
315,14714,120028,120028.0,False,40633,40633.0,30,22.0,1.0
316,14130,120035,120035.0,False,40634,40634.0,30,22.0,1.0
317,14147,120054,120054.0,False,40638,40638.0,30,22.0,1.0
318,13965,120208,120208.0,False,40639,40639.0,30,22.0,1.0
319,13954,120066,120066.0,False,40641,40641.0,30,22.0,1.0
320,14141,120066,120066.0,False,40641,40641.0,30,22.0,1.0
321,14581,120066,120066.0,False,40641,40641.0,30,22.0,
322,14710,120148,120148.0,False,40642,40642.0,30,22.0,2.0
323,14731,120071,120071.0,False,40642,40642.0,30,22.0,2.0
324,13993,120091,120091.0,False,40646,40646.0,30,22.0,1.0
325,14112,120091,120091.0,False,40646,40646.0,30,22.0,1.0
326,14121,120091,120091.0,False,40646,40646.0,30,22.0,1.0
327,14566,120091,120091.0,False,40646,40646.0,30,22.0,1.0
328,14597,120091,120091.0,False,40646,40646.0,30,22.0,1.0
329,14635,120316,120316.0,False,40648,40648.0,30,22.0,1.0
330,14585,120279,120279.0,False,40652,40652.0,30,22.0,1.0
331,14701,120279,120279.0,False,40652,40652.0,30,22.0,1.0
332,13970,120229,120229.0,False,40653,40653.0,30,22.0,1.0
333,14632,120236,120236.0,False,40654,40654.0,30,22.0,1.0
334,14124,120235,120235.0,False,40654,40654.0,30,22.0,1.0
335,14589,120244,120244.0,False,40657,40657.0,30,22.0,1.0
336,14681,120246,120246.0,False,40657,40657.0,30,22.0,1.0
337,14699,120244,120244.0,False,40657,40657.0,30,22.0,1.0
338,14704,120244,120244.0,False,40657,40657.0,30,22.0,1.0
339,14713,120244,120244.0,False,40657,40657.0,30,22.0,1.0
340,14712,120244,120244.0,False,40657,40657.0,30,22.0,1.0
341,14578,120246,120246.0,False,40657,40657.0,30,22.0,1.0
342,14657,120244,120244.0,False,40657,40657.0,30,22.0,1.0
343,14588,120247,120247.0,False,40658,40658.0,30,22.0,1.0
344,14591,120226,120226.0,False,40651,40651.0,30,22.0,
345,13961,120226,120226.0,False,40651,40651.0,30,22.0,1.0
346,14138,120226,120226.0,False,40651,40651.0,30,22.0,2.0
347,13925,120226,120226.0,False,40651,40651.0,30,22.0,2.0
348,14651,120226,120226.0,False,40651,40651.0,30,22.0,2.0
349,14643,120258,120258.0,False,40661,40661.0,30,22.0,1.0
350,14169,120259,120259.0,False,40661,40661.0,30,22.0,1.0
351,14149,120260,120260.0,False,40662,40662.0,30,22.0,1.0
352,14679,120262,120262.0,False,40663,40663.0,30,22.0,1.0
353,14650,120262,120262.0,False,40663,40663.0,30,22.0,1.0
354,13962,120262,120262.0,False,40663,40663.0,30,22.0,1.0
355,14568,120262,120262.0,False,40663,40663.0,30,22.0,1.0
356,14125,120262,120262.0,False,40663,40663.0,30,22.0,1.0
357,13927,120262,120262.0,False,40663,40663.0,30,22.0,2.0
358,14153,120262,120262.0,False,40663,40663.0,30,22.0,2.0
359,14582,120262,120262.0,False,40663,40663.0,30,22.0,2.0
360,14116,120262,120262.0,False,40663,40663.0,30,22.0,2.0
361,13977,120262,120262.0,False,40663,40663.0,30,22.0,2.0
362,14645,120262,120262.0,False,40663,40663.0,30,22.0,
363,13946,120263,120263.0,False,40664,40664.0,30,22.0,1.0
364,14569,120348,120348.0,False,40664,40664.0,30,22.0,1.0
365,14549,120297,120297.0,False,40668,40668.0,30,22.0,
366,13942,120279,120279.0,False,40652,40652.0,30,22.0,2.0
367,14117,120299,120299.0,False,40669,40669.0,30,22.0,1.0
368,14705,120314,120314.0,False,40671,40671.0,30,22.0,1.0
369,14185,120314,120314.0,False,40671,40671.0,30,22.0,1.0
370,14706,120314,120314.0,False,40671,40671.0,30,22.0,1.0
371,13956,120314,120314.0,False,40671,40671.0,30,22.0,1.0
372,14698,120314,120314.0,False,40671,40671.0,30,22.0,1.0
373,14703,120314,120314.0,False,40671,40671.0,30,22.0,1.0
374,12563,120314,120314.0,False,40671,40671.0,30,22.0,
375,13986,120314,120314.0,False,40671,40671.0,30,22.0,1.0
376,13974,120314,120314.0,False,40671,40671.0,30,22.0,1.0
377,12252,120314,120314.0,False,40671,40671.0,30,22.0,1.0
378,14762,120244,120244.0,False,40657,40657.0,30,22.0,1.0
379,14598,120303,120303.0,False,40672,40672.0,30,22.0,1.0
380,13952,120304,120304.0,False,40672,40672.0,30,22.0,1.0
381,14540,120318,120318.0,False,40674,40674.0,30,22.0,
382,14592,120317,120317.0,False,40674,40674.0,30,22.0,1.0
383,13944,120317,120317.0,False,40674,40674.0,30,22.0,
384,14599,120344,120344.0,False,40678,40678.0,30,22.0,1.0
385,13921,120344,120344.0,False,40678,40678.0,30,22.0,1.0
386,13955,120347,120347.0,False,40678,40678.0,30,22.0,1.0
387,13968,120347,120347.0,False,40678,40678.0,30,22.0,1.0
388,14723,120341,120341.0,False,40666,40666.0,10,10.0,1.0
389,14539,120351,120351.0,False,40666,40666.0,10,10.0,1.0
390,14199,120342,120342.0,False,40666,40666.0,10,10.0,1.0
391,14729,119953,119953.0,False,40615,40615.0,10,10.0,1.0
392,14719,119953,119953.0,False,40615,40615.0,10,10.0,1.0
393,13938,120359,120359.0,False,40679,40679.0,10,10.0,1.0
394,14728,120260,120260.0,False,40662,40662.0,30,22.0,1.0
395,14190,120359,120359.0,False,40679,40679.0,10,10.0,1.0
396,14756,119953,119953.0,False,40615,40615.0,10,10.0,1.0
397,14702,120394,120394.0,False,40648,40648.0,30,22.0,1.0
398,14633,120226,120226.0,False,40651,40651.0,30,22.0,2.0
399,14663,120395,120395.0,False,40666,40666.0,10,10.0,1.0
400,14203,120275,120275.0,False,40616,40616.0,10,10.0,1.0
401,14585,120297,120297.0,False,40668,40668.0,30,22.0,2.0
402,14701,120297,120297.0,False,40668,40668.0,30,22.0,2.0
403,14684,120318,120318.0,False,40674,40674.0,30,22.0,1.0
404,14736,120411,120411.0,False,40657,40657.0,30,22.0,1.0
405,13970,120408,120408.0,False,40684,40684.0,30,22.0,2.0
406,13932,120311,120311.0,False,40670,40670.0,30,22.0,2.0
407,14110,120314,120314.0,False,40671,40671.0,30,22.0,2.0
408,14113,120311,120311.0,False,40670,40670.0,30,22.0,2.0
409,14122,120410,120410.0,False,40671,40671.0,30,22.0,2.0
410,14137,120311,120311.0,False,40670,40670.0,30,22.0,2.0
411,14154,120314,120314.0,False,40671,40671.0,30,22.0,2.0
412,14180,120410,120410.0,False,40671,40671.0,30,22.0,2.0
413,14189,120311,120311.0,False,40670,40670.0,30,22.0,2.0
414,14537,120311,120311.0,False,40670,40670.0,30,22.0,2.0
415,14538,120311,120311.0,False,40670,40670.0,30,22.0,2.0
416,14578,120410,120410.0,False,40671,40671.0,30,22.0,2.0
417,14589,120311,120311.0,False,40670,40670.0,30,22.0,2.0
418,14681,120314,120314.0,False,40671,40671.0,30,22.0,2.0
419,14699,120311,120311.0,False,40670,40670.0,30,22.0,2.0
420,14704,120314,120314.0,False,40671,40671.0,30,22.0,2.0
421,14712,120311,120311.0,False,40670,40670.0,30,22.0,2.0
422,14713,120311,120311.0,False,40670,40670.0,30,22.0,2.0
423,14762,120314,120314.0,False,40671,40671.0,30,22.0,2.0
424,14208,120311,120311.0,False,40670,40670.0,30,22.0,2.0
425,13932,120311,120311.0,False,40670,40670.0,30,22.0,2.0
426,14110,120314,120314.0,False,40671,40671.0,30,22.0,2.0
427,14113,120311,120311.0,False,40670,40670.0,30,22.0,2.0
428,14122,120410,120410.0,False,40671,40671.0,30,22.0,2.0
429,14137,120311,120311.0,False,40670,40670.0,30,22.0,2.0
430,14154,120314,120314.0,False,40671,40671.0,30,22.0,2.0
431,14180,120410,120410.0,False,40671,40671.0,30,22.0,2.0
432,14189,120311,120311.0,False,40670,40670.0,30,22.0,2.0
433,14537,120311,120311.0,False,40670,40670.0,30,22.0,2.0
434,14538,120311,120311.0,False,40670,40670.0,30,22.0,2.0
435,14578,120410,120410.0,False,40671,40671.0,30,22.0,2.0
436,14589,120311,120311.0,False,40670,40670.0,30,22.0,2.0
437,14681,120314,120314.0,False,40671,40671.0,30,22.0,2.0
438,14699,120311,120311.0,False,40670,40670.0,30,22.0,2.0
439,14704,120314,120314.0,False,40671,40671.0,30,22.0,2.0
440,14712,120311,120311.0,False,40670,40670.0,30,22.0,2.0
441,14713,120311,120311.0,False,40670,40670.0,30,22.0,2.0
442,14762,120314,120314.0,False,40671,40671.0,30,22.0,2.0
443,14208,120311,120311.0,False,40670,40670.0,30,22.0,2.0
444,13986,120299,120299.0,False,40669,40669.0,30,22.0,1.0
445,14770,120242,120242.0,False,40656,40656.0,30,22.0,1.0
446,14677,120408,120408.0,False,40684,40684.0,30,22.0,1.0
447,14698,120412,120412.0,False,40657,40657.0,30,22.0,2.0
448,14703,120412,120412.0,False,40657,40657.0,30,22.0,2.0
449,14705,120412,120412.0,False,40657,40657.0,30,22.0,2.0
450,14706,120412,120412.0,False,40657,40657.0,30,22.0,2.0
451,14119,120412,120412.0,False,40657,40657.0,30,22.0,2.0
452,14128,120412,120412.0,False,40657,40657.0,30,22.0,2.0
453,14574,120412,120412.0,False,40657,40657.0,30,22.0,2.0
454,14575,120412,120412.0,False,40657,40657.0,30,22.0,2.0
455,14576,120412,120412.0,False,40657,40657.0,30,22.0,2.0
456,14579,120412,120412.0,False,40657,40657.0,30,22.0,2.0
457,14657,120412,120412.0,False,40657,40657.0,30,22.0,2.0
458,14764,120298,120298.0,False,40668,40668.0,30,22.0,1.0
459,14773,120262,120262.0,False,40663,40663.0,30,22.0,2.0
460,14174,120258,120258.0,False,40661,40661.0,30,22.0,1.0
461,13917,120263,120263.0,False,40664,40664.0,30,22.0,1.0
462,14208,120412,120412.0,False,40657,40657.0,30,22.0,1.0
463,14651,120028,120028.0,False,40633,40633.0,30,22.0,2.0
464,13925,120028,120028.0,False,40633,40633.0,30,22.0,2.0
465,14138,120028,120028.0,False,40633,40633.0,30,22.0,2.0
466,14718,120020,120020.0,False,40612,40612.0,30,22.0,1.0
467,14792,120328,120328.0,False,40675,40675.0,20,20.0,1.0
468,14601,120255,120255.0,False,40660,40660.0,20,20.0,1.0
